first_seen,last_seen,organization,title,location,posted_date,matched_keywords,relevance_score,url
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,Career options,,,,0,https://www.vacancies.aau.dk/scientific-positions/career-options
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,PhD positions,,,,0,https://www.vacancies.aau.dk/phd-positions
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,PhD Schools,,,,0,https://www.vacancies.aau.dk/phd-positions/phd-schools
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,Career options,,,,0,https://www.vacancies.aau.dk/phd-positions/career-options
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,Technical or administrative positions,,,,0,https://www.vacancies.aau.dk/technical-and-administrative-positions
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,Career options,,,,0,https://www.vacancies.aau.dk/technical-and-administrative-positions/career-options
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,For students,,,,0,https://www.students.aau.dk
2026-03-09 15:26:27,2026-03-09 15:36:14,Aalborg University,For PhDs,,,,0,https://www.en.aau.dk/research/phd
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in Sustainable Metallurgy: Slag Design & Refractories,,,sustainable,1,https://www.kth.se/lediga-jobb/898070?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,Aalborg University,Vacant positions at Aalborg University,,,,0,https://www.vacancies.aau.dk/
2026-03-09 15:26:26,2026-03-09 15:36:14,Aalborg University,Scientific positions,,,,0,https://www.vacancies.aau.dk/scientific-positions
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Research,,,,0,https://www.kth.se/en/forskning
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Search the Student web,,,,0,https://www.kth.se/en/student/search
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Postdoc in atmospheric turbulence,,,,0,https://www.kth.se/lediga-jobb/904326?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,"Doctoral student in Generative Modeling, Super Resolution of Brain Imaging",,,,0,https://www.kth.se/lediga-jobb/899298?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in Generative Modeling of Biomolecules,,,,0,https://www.kth.se/lediga-jobb/899309?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in integrated TN-NTN 6G and future networks,,,,0,https://www.kth.se/lediga-jobb/899845?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Bioinformatician/Data scientist (biomarkers),,,,0,https://www.kth.se/lediga-jobb/902965?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Researcher in Monte-Carlo methods in superconductivity,,,,0,https://www.kth.se/lediga-jobb/908639?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in the history of polar governance in the national polar research school,,,,0,https://www.kth.se/lediga-jobb/896294?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in geodetic surveying with GNSS,,,,0,https://www.kth.se/lediga-jobb/896519?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in Signal Processing for 6G Communications,,,,0,https://www.kth.se/lediga-jobb/897887?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in AI and the future of teacher education,,,,0,https://www.kth.se/lediga-jobb/898457?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in AI and the future of teacher education,,,,0,https://www.kth.se/lediga-jobb/898470?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral student in Data-driven AI based Battery Aging Modeling,,,,0,https://www.kth.se/lediga-jobb/898968?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Postdoc in Nuclear Power Safety,,,,0,https://www.kth.se/lediga-jobb/899117?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Doctoral students in Learning and Control of Networked CPHS,,,,0,https://www.kth.se/lediga-jobb/900491?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,"Research Engineer in Robotics, Perception and Learning",,,,0,https://www.kth.se/lediga-jobb/910843?l=en
2026-03-09 15:26:26,2026-03-09 15:36:14,KTH,Postdoc in methods for technical implementation of circular networks,,,,0,https://www.kth.se/lediga-jobb/905949?l=en
